region,year,temp_anomaly,temp_lower,temp_upper
Southern Hemisphere,1967,0.1445704,0.07292066,0.21622016
World,1967,0.24825229,0.20347765,0.29302692
Northern Hemisphere,1968,0.25333112,0.22326244,0.28339982
Southern Hemisphere,1968,0.14666179,0.06674475,0.22657885
World,1968,0.19999647,0.15364182,0.24635111
Northern Hemisphere,1969,0.2908729,0.2621795,0.31956634
Southern Hemisphere,1969,0.38145617,0.31271487,0.45019746
World,1969,0.33616453,0.2957707,0.37655836
Northern Hemisphere,1970,0.2672872,0.23893034,0.29564407
Southern Hemisphere,1970,0.29260132,0.22409011,0.3611125
World,1970,0.27994427,0.24161476,0.31827375
Northern Hemisphere,1971,0.16236106,0.13321792,0.1915042
Southern Hemisphere,1971,0.15739568,0.091218926,0.22357243
World,1971,0.15987837,0.12165413,0.1981026
Northern Hemisphere,1972,0.14221987,0.114659004,0.16978073
Southern Hemisphere,1972,0.40534267,0.34012657,0.47055876
World,1972,0.27378127,0.23690394,0.3106586
Northern Hemisphere,1973,0.4121075,0.3841795,0.44003552
Southern Hemisphere,1973,0.4207657,0.35402197,0.48750943
World,1973,0.4164366,0.37840772,0.45446548
Northern Hemisphere,1974,0.14185503,0.11116596,0.17254409
Southern Hemisphere,1974,0.24869901,0.18144913,0.3159489
World,1974,0.19527704,0.1570778,0.23347625
Northern Hemisphere,1975,0.28194356,0.25555018,0.30833697
Southern Hemisphere,1975,0.23402885,0.16584349,0.3022142
World,1975,0.25798622,0.22046712,0.2955053
Northern Hemisphere,1976,0.14057425,0.11249193,0.16865656
Southern Hemisphere,1976,0.16573451,0.092019655,0.23944938
World,1976,0.15315439,0.111947276,0.1943615
Northern Hemisphere,1977,0.46957895,0.43971154,0.4994464
Southern Hemisphere,1977,0.46853185,0.39653662,0.54052705
World,1977,0.46905538,0.42693207,0.51117873
Northern Hemisphere,1978,0.3771396,0.3486444,0.4056348
Southern Hemisphere,1978,0.36178967,0.29246172,0.43111762
World,1978,0.36946464,0.32980055,0.40912873
Northern Hemisphere,1979,0.41843748,0.3923384,0.4445366
Southern Hemisphere,1979,0.48569003,0.43747047,0.5339096
World,1979,0.45206377,0.4232105,0.48091704
Northern Hemisphere,1980,0.5246844,0.4981176,0.55125123
Southern Hemisphere,1980,0.5862801,0.5294978,0.6430624
World,1980,0.55548227,0.5229139,0.5880506
Northern Hemisphere,1981,0.72648335,0.696597,0.7563697
Southern Hemisphere,1981,0.49536952,0.44201115,0.5487279
World,1981,0.61092645,0.57968634,0.64216655
